"1000000000","2417","None","0.99"
"1000000001","None","Pets","0.43"
"1000000002","6411","None","0.66"
"1000000003","None","Books","0.04"
"1000000004","2082","None","0.35"
"1000000005","None","Furniture","0.35"
"1000000006","820","None","0.76"
"1000000007","None","Sports","0.52"
"1000000008","7178","None","0.7"
"1000000009","None","Travel","0.56"
"1000000010","4806","None","0.78"
"1000000011","None","Sports","0.64"
"1000000012","3001","None","0.1"
"1000000013","None","Sports","0.68"
"1000000014","4917","None","0.12"
"1000000015","None","Books","0.23"
"1000000016","7951","None","0.13"
"1000000017","None","Pets","0.04"
"1000000018","9325","None","0.72"
"1000000019","None","Sports","0.98"
"1000000020","3145","None","0.55"
"1000000021","None","Clothing","0.45"
"1000000022","4842","None","0.01"
"1000000023","None","All","0.57"
"1000000024","6202","None","0.06"
"1000000025","None","Kitchenware","0.31"
"1000000026","6397","None","0.95"
"1000000027","None","School","0.66"
"1000000028","7775","None","0.37"
"1000000029","None","Electronics","0.89"
"1000000030","821","None","0.92"
"1000000031","None","Kitchenware","0.55"
"1000000032","1802","None","0.64"
"1000000033","None","Kitchenware","0.65"
"1000000034","6677","None","0.01"
"1000000035","None","School","0.94"
"1000000036","4517","None","0.92"
"1000000037","None","Clothing","0.44"
"1000000038","6339","None","0.38"
"1000000039","None","Kitchenware","0.92"
"1000000040","9769","None","0.25"
"1000000041","None","Electronics","0.26"
"1000000042","6985","None","0.21"
"1000000043","None","Toiletries","0.71"
"1000000044","2847","None","0.77"
"1000000045","None","Pets","0.47"
"1000000046","2942","None","0.54"
"1000000047","None","Travel","0.43"
"1000000048","2020","None","0.34"
"1000000049","None","Toiletries","0.01"
"1000000050","6123","None","0.85"
"1000000051","None","Pets","0.49"
"1000000052","9496","None","0.59"
"1000000053","None","Travel","0.72"
"1000000054","7000","None","0.19"
"1000000055","None","School","0.51"
"1000000056","1791","None","0.38"
"1000000057","None","All","0.46"
"1000000058","1083","None","0.19"
"1000000059","None","Travel","0.41"
"1000000060","8035","None","0.78"
"1000000061","None","Pets","0.94"
"1000000062","9544","None","0.25"
"1000000063","None","Pets","0.99"
"1000000064","8119","None","0.58"
"1000000065","None","Kitchenware","0.94"
"1000000066","7263","None","0.14"
"1000000067","None","Furniture","0.67"
"1000000068","7832","None","0.62"
"1000000069","None","Clothing","0.45"
"1000000070","2284","None","0.96"
"1000000071","None","Pets","0.32"
"1000000072","2716","None","0.78"
"1000000073","None","School","0.02"
"1000000074","5504","None","0.32"
"1000000075","None","Furniture","0.94"
"1000000076","5538","None","0.54"
"1000000077","None","Electronics","0.92"
"1000000078","1525","None","0.32"
"1000000079","None","Toiletries","0.78"
"1000000080","739","None","0.93"
"1000000081","None","Toiletries","0.97"
"1000000082","244","None","0.89"
"1000000083","None","Toiletries","0.7"
"1000000084","7366","None","0.16"
"1000000085","None","Furniture","0.75"
"1000000086","27","None","0.08"
"1000000087","None","Toiletries","0.9"
"1000000088","253","None","0.4"
"1000000089","None","Toiletries","0.45"
"1000000090","102","None","0.22"
"1000000091","None","Travel","0.48"
"1000000092","4189","None","0.51"
"1000000093","None","Kitchenware","0.41"
"1000000094","8594","None","0.4"
"1000000095","None","Furniture","0.97"
"1000000096","2976","None","0.38"
"1000000097","None","Electronics","0.36"
"1000000098","8061","None","0.12"
"1000000099","None","School","0.29"
"1000000100","9455","None","0.35"
"1000000101","None","All","0.21"
"1000000102","1452","None","0.17"
"1000000103","None","Clothing","0.58"
"1000000104","9781","None","0.03"
"1000000105","None","Furniture","0.54"
"1000000106","1991","None","0.64"
"1000000107","None","Sports","0.06"
"1000000108","2917","None","0.61"
"1000000109","None","School","0.88"
"1000000110","3971","None","0.82"
"1000000111","None","Furniture","0.03"
"1000000112","3990","None","0.11"
"1000000113","None","Books","0.72"
"1000000114","4949","None","0.34"
"1000000115","None","Toiletries","0.24"
"1000000116","9360","None","0.83"
"1000000117","None","Sports","0.24"
"1000000118","1072","None","0.35"
"1000000119","None","Sports","0.33"
"1000000120","5131","None","0.47"
"1000000121","None","Travel","0.72"
"1000000122","6126","None","0.31"
"1000000123","None","Toiletries","0.58"
"1000000124","1790","None","0.95"
"1000000125","None","Toiletries","0.92"
"1000000126","3090","None","0.1"
"1000000127","None","Sports","0.74"
"1000000128","8224","None","0.39"
"1000000129","None","All","0.73"
"1000000130","1362","None","0.26"
"1000000131","None","Kitchenware","0.71"
"1000000132","6147","None","0.28"
"1000000133","None","School","0.18"
"1000000134","3981","None","0.65"
"1000000135","None","Pets","0.18"
"1000000136","3833","None","0.25"
"1000000137","None","Electronics","0.37"
"1000000138","6762","None","0.72"
"1000000139","None","Toiletries","0.65"
"1000000140","6616","None","0.32"
"1000000141","None","Travel","0.77"
"1000000142","8768","None","0.66"
"1000000143","None","Furniture","0.11"
"1000000144","8907","None","0.96"
"1000000145","None","School","0.4"
"1000000146","5702","None","0.35"
"1000000147","None","Pets","0.41"
"1000000148","1133","None","0.39"
"1000000149","None","Clothing","0.66"
"1000000150","5003","None","0.43"
"1000000151","None","Furniture","0.59"
"1000000152","5368","None","0.35"
"1000000153","None","Travel","0.65"
"1000000154","9957","None","0.35"
"1000000155","None","School","0.41"
"1000000156","8468","None","0.91"
"1000000157","None","Electronics","0.64"
"1000000158","1612","None","0.48"
"1000000159","None","Furniture","0.55"
"1000000160","6132","None","0.37"
"1000000161","None","Toiletries","0.64"
"1000000162","3428","None","0.61"
"1000000163","None","School","0.35"
"1000000164","2836","None","0.22"
"1000000165","None","Toiletries","0.08"
"1000000166","9748","None","0.16"
"1000000167","None","Books","0.73"
"1000000168","1056","None","0.46"
"1000000169","None","School","0.29"
"1000000170","8234","None","0.51"
"1000000171","None","Kitchenware","0.2"
"1000000172","5180","None","0.8"
"1000000173","None","Electronics","0.71"
"1000000174","8615","None","0.91"
"1000000175","None","Pets","0.34"
