"0","Meet despite nothing agreement","Discussion","Health television perhaps where dinner.","b'\xc6D\x81f@\xc7\xf5\xb8\xf0E\x0f\xca\xd8\xb0\x9eH\x94\xff\x85\xcb{\xecg]\xfe\xe9\x13\xd1g\x95\xd95\x9e\x8aSMk\x9dBS\xb1kQ\x1e5@\x81\x92\x91_\x1f\x8e\xbe7\xd3\x85\xab\x857\x1c\x0f\xae\xd9\xf7'","356.17","1.07","false"
"1","Three onto director interesting","Specific head","Worry economic shoulder gas right yes American call.","b'\xab\xcc85bl\xa5\xceI\x15*\x10\xb5j\xd2;\xd2j\xad.4F\x8bxWn\xc4\xdeeh\x05\x8f\xd6n4\xb9\xaa\x80w\xffl\x1a7\x87\xdd3\x133\xa7\xa9:\x902{\x9b!1\xc8\xf5L\xa6sBy'","486.85","4.68","true"
"2","Always now life","Dark power","Than design staff forward respond bill.","b'\x86\xf5a\xe7Qm\xce\xb3\xdc\x86\xc7UC\xfa8x\xb0\x8d\x03\x9c\xe4l\xcas\x94\xa1\x0c\xb8\x11\xda\x0c\x0b\x18\x1b\xd0\x99\xe7\xa9\r\xc36\xd7\x8c\x16\xad\x16\x1f\xb2<\x072\x11l\xd2\x8f37\\>Ozv\xf7\x85'","280.70","4.04","true"
"3","Daughter miss maintain avoid","Speech near","At direction share budget its pull inside.","b'\xc7O\xfcG\x18\x9d\xc5\xf5\xe9\xd7\xaav \x99y\xae\x9bz\xde\x8b\x95\xc2\xa5\xa3j0\x9b\x99c4|\xd1S\xa1l\xd6\xed}\x8c\xba\xc8!\xf3\xe11U=\x88\x87\x04\xc7\xc9e\x0cS\x1e\xd4\xd9\xaa\xda\xc2\x14\x88\xf2'","116.16","1.12","false"
"4","Opportunity trade along which worry","Cover care","Cause factor seem main point especially.","b'\x0e\xe2\x8d\x9a\n\xc3\xeeU\x13U\x04\xcc\xb5.\xa0\r\xecv\x84\xc1\x1e\xdd\xe6\xfaTn80o\xcc\xa4\x8dv\x1e\xa3\x8e,^7\xeb\x0b\xf4\xb5\x80\xdeX\x13ZR\xdce\x99\x1a\x1bu\x0c\xbd\x83\xe8\x90\x8e\xa9\xbfB'","121.21","4.81","false"
"5","Poor Mr","Government medical","Clearly increase much right.","b'\x05 \xd78\xd7\xeb%3\xe9K\xc3^\xd1\x11\xb0\xd9\x8e\x90H*\xe3\xa0`\x16p\xe3\xd1E\x11d\x91i\x87\x1c\xbb\x91\xc4C\x12b\x99i\xe5\x96\x01\x15\xdb\xdf\x05U4\xbb\xd6v\x89\xcd\xb5O.\xa7n\x15\xc9\xc0'","421.93","2.34","true"
"6","Forget crime resource","Institution seek","Six day claim contain discuss bad discussion.","b'J\x93\x9d\x16h\x98\xf8\xc39\xb2-\xea\xbar\x163\xb7\xeca\x9e\x942\x01""\xdef\xfdh\xfa\xcf\xf2RO\x02\xe8%\xd3\xa3[)\xae\xe9b\xfa\xd6\x1aP\x80\x95\x96\xdf\x00\xfc#\xf1\x95\xef\xbb\xf5#\x9dk\xd6\xed'","121.72","3.99","true"
"7","Kind certain ready thousand","Wear southern","Career professor experience ball role their once should.","b'\xf7\x8e\\\x02\xde\xb4\x9a\xdf\x18\x10\x17\x7f\xd8.\x17\xc0\xf0k;\x88\tX\xf2\x18""\t\x80J\xe0Qozp\t\x1f\xe5\xfa\xa9M$\x1f\x18\x1ct\xcd\x87\x04\xfd\x853L(\xbd\xa3fl\x99~P^\xb5""3\x92'","32.32","2.62","true"
"8","Theory meet morning book","With visit","Spring impact next not.","b'x\x08\x1c\x10\x0bw\xa79.\x91\x83\xee\x1d6\xd8w\x87\x8a8E<\xbd\xb9\x88\xbb\x1b \xd1\x95\xb9\x8f\x03F\xfa\xabph&\xd9\xb1%RZw-\x92\xc2\x1d\xb6n\xecg\xef4\xe2d\xb3\xa0\xae\x0c\xd96\xa1\xc7'","490.50","0.81","true"
"9","Hear car thousand very","Space what","Society attention heavy debate cover.","b' 5\x17\xbaNT\xb7\xec\xd4\xad\x99\x94\xa4\xdaW\xe7F\xedG\xd1\xb4\xa2>\x0fJ\xb6\xa6h>\x94\xb9\x180\xe0u\x08\xe8\xf3!y&hje\xb6\xbe\x03\x98\x8f\x04\xad\x1e\xb0T\xd2(\xddJ\xe9\xf3\xa0\x06\xbf\x0b'","488.49","1.43","false"
"10","Letter religious","Trip occur","Tv between camera live.","b'\x02\x10oUZ\xec[\xe7a\x05\x17\xf0\xf8\xc6\x89\xe8\xad2W\x14\xe5\xf8\xf5\x88\xd9s\x17\x10\xa7\xc3\xf8x\x0bf\xabcO\x96]\xdf6\x83\xc4o \xbd\xcbL\xd2\xfa5\x87\xd8\xb6\xbb\xcc\xb6\xd2\x85\x03j\xea\xbbm'","486.31","3.87","true"
"11","First heart","Bad","Interesting eat practice throw receive project five admit.","b'm\x9a+hQx\xde\xa6\x96P{\xfc\x03C\xf8!\x01\x9d\xe2\x89eG\xae\x9cE^\xa5\xce\x97\xb3\xe6\xf6\xd4Z\xe8k\x87\xd6\xdf\xfb\x1f\xaf\xfb\xaf\x19\xa5\xfd\xba\xe0""/\x91\x97\xdf\xae\xe99\xb1\xe4\xd3\x10\xcb\xb3\x03'","472.53","1.53","true"
"12","Similar age option war","Reveal","Wide method movie painting.","b':\xcf<\x1b\x86\xa3\xad\x1a\xe7L\t\xd0\x80\xf6\x8br\x96S~f\xfb||\x8a\xb0`\xa6L \xc4cij\xc3S\xf8\x9a(0\x9do\x0e\x1b\xb2,\xe6\x94\x9f\xfc\xc0\x8dq\xbe7\xa6\xc9\xbd<J\xf3\xc4\xb3\x88L'","313.54","2.86","true"
"13","Special away behavior","Risk agent","Under rock next week scientist recognize so.","b'g\xd2\n\xd3\xd9|5)\xac\xd4\x9cm\xfc\xecX\x92\xf0\xba2\x00\xae\xb1\xebM\x8c\x1a \xe7\\\xfc\x9aMQ${R\xeb\x13=\xb4\xab\xda\xb3t9\xd2\xf8-\xef\x9b\x0f\xae\xf5<\x994\xbe\x15\\\x9f]\xae\xf4r'","22.88","1.1","true"
"14","Stock phone success Mrs","Media","Thing daughter indicate scientist offer issue long.","b""\x1ab\x15\xfd\x00Q5Sl9>\xdb`\nR\xc1R<\xd7\xabs\xea\x1e88e55+(\x04\\\x82\xeaJ\x9e\x96r\xa4\x8eB\xfdU\xa8fz@\xc9\xf2\xc2\x1e]\t\x902\x18\xdb\x11Ll\x9c'b\n""","6.47","2.82","false"
"15","Last join list ever pull","Room","Former summer price summer or like.","b'\xe5\x03\x81}\x15t\xa1\x8d\x10\xc8\xbbj|`\xa1\t5\x19-p\xb56\xc8\x8bf_\xe0\xe7\xeap/]?\xae^%\x84\xdd\x9biD7|k\x9e\x81\x186K\xff\x86D*9f\x7fqC\xe7e\xfe\xfd4\xb9'","365.45","2.87","false"
"16","Name ability population number","Prepare","Type rest name term turn unit.","b'\xff\x19\xd3\xed\x15\xa4g\xa1S\x0e\xa6\xfb%\xce\x9d[s\x08\xf3;i\xe4\x94\x9b\x94\x03\xb3\x8a.\x07\x0c\xef\x18L+\x1c\x83\x9f% )r\x11\xa0\xaa\xed\x0c\xf9\xce\x94\rz\xb6\xb3\xa4W\xd6a\xca\x1a\x0e\x89m\x99'","65.75","2.22","true"
"17","Other activity I","These","Partner seek up.","b""r\xa8\x98\xc8'\xf3p\x89\x87\x11\xbb\x98\x82w\x9d\xaa\x95\x8c\xc1\xf89'\xd5dYj\x8c\xbe\xe2\xe1\xd1k\xe3\xaf0o\xf4\x9e5\x0b\x10$w\xd8\xa40.\xf7\x97\xfd\xef\x1e\x9e\xf2\xbd\xf2As\x19\xe6{\x7ft\x11""","131.31","0.32","true"
"18","Body front indicate","Else candidate","Can citizen also leave price box range.","b'\x98\x12d\x95\x85y)\xea:\xf9\xa4\\\x9c5\x01hq\xb9[\xbe\xaav\x9ec\x1c\xc1\x83\x94\xc6\x89+\x1d\x00Ct\x00A\x93XR\xf9\x13\xfe\x9fz\xb7=kpNO\x8f\xf4\x9c\xe4\x97b\xafiE\xec\xf4Sq'","72.75","2.47","false"
"19","Home yard give film","Office another","Large rock throw anything notice season.","b'Y\x0e\x07\x81Z#\x10\x8b\xaa\x0b\x99\xc84\xc2\xd0\xa9i\x7fT\xe3\xc4\xa0\xe7K1\x90\xe7;E\x9b\x7f\xae\xd2\xab""\xb9\xfc\x079KE\x83\x8dAzR\xb2\xaeqx\x17c\xfa\xbeY\xca\xf0\xfdh\xe5\xc4\x9at='","347.16","0.46","false"
"20","Road social perform run firm","Economy","Manager conference least money lose.","b""_d\x10\xae\xb2\xf6\x9e\xa8\xab\xa5+\x9a\xcf%\xfa\xa2\xb3\xdc0=\x08N\xbb{\x0c(4\x9d\xda\xc4\x94\xa4\xf4\x1ex\x8b\xa9\xd3\xa7\x1c*'\x14\xa0D\x1a\x9a\x87r\xa5miF\xe5\xc1O)\x87\xc0\xa7\xa8\x96\xde\xa9""","49.98","1.84","true"
"21","Pick admit serious","Pay","Fire what discuss campaign.","b'\x17\xe3\xe1K\xc6+y\xea\xd5\xa7r\x16\n\x8c\xcdIpu\xd4YJ\x19{1\x02z: \x15b~No\xac\xd0\xd1)\xbd-\xa1\xc6>\xa6\x1a&\x18\x96\x98\x12V7\xbf\xb4\x91W\xe8\xdaa|/>\xd4Q\xfe'","411.82","0.33","false"
"22","Why law much modern condition","Bed","Lose deal foreign.","b'\x82A\x85\xa9\xd9<\xc8\x02\x91\x99\xd4\xa2\xfd\x9d\x1b\x08\xfcA>\x10k\x80t=ra\x97\xdd\x96\xec\xf4\xd6mh\x02n\xbbU\x9do\x11\xde\xd1\xadmB\x96,B\x1e\xa9\x19B""88\x18<K\xc1\x9c\x0f\xe14'","0.91","2.63","true"
"23","Parent participant none","Owner where","Of enough fact.","b'\xc9\xa15U=J\xf2O\x05\x11\x98o<\x85\x84\xe6\xf8q\x8a\xdf\xe9\x9a\xe3p\xd66\xd6\xc8f>\xba|\n#\n\xd0\xb6fh\xa8\xdf7\x17\xfb\xdd\x9c\x8b\xc7\x8e\xc4O@\x08#X\x15\xa2\xba\xef\xdfg\xcd\x1f\xb6'","412.29","3.43","true"
"24","Himself price leader nothing","Ball financial","Open player expert player need ok much election.","b'\x9b\xde\x01\xfeh\x91g\x06\x9d1\xd0\xb9\xc3\xbb\xc3k\xa0\x04\x1e4\xd58\xd4\xacp\xae\xab\xb2\xbdK\xa0\xad+\x82\xaf\x8c\x90M\xd3\xcaq5u\x89\xe5B\x91F\x8d\x18\x04z\xb9\xaa;\xe7\x1e\x8cN\xf9nt\xaa.'","206.72","1.91","false"
"25","Enjoy life","Year you","Myself before bring idea beat myself remember face.","b'\xf2\xd4}\xbf\x8c\x8a\xa8Y\x84o2\x95\xc5\xcc\xad\xee0#|T\xea`\xb8\x88\x12E\x03\xbc\xe3\x92\x9f\xa8[\x07\x97S\r\xe1\xe3=\xdf\xf2*\x12\xee\xdfs\x8dA\xf4\xe4,\xb4\xd4\x9e\xfe\xf2\xe6\xa0\x9e*:6&'","215.95","4.47","false"
"26","Reach kid three","Church lose","Condition she value in night former use.","b'V1\xbbQ\xe91M\xaa\x13:\x99\x9f\x8cYj\xc9\xf1\n\x89\xcc9\x98\xbd\xc3\x93\x97(\xe5s\x94\xf2\nz\t8\x0b\xab\xd8I\x98\x1442\x9d\xef\x9dG\xdb\x82\xb9\x84\xd6\xd7\x9f\xf7\xdfy[\xe8\x92D1]B'","238.82","4.78","true"
"27","Wall two everybody","Into build","Yet officer fish you entire.","b'\x83cv\xa0\\\x13\x1a\x00d0\x19\xfd.\x9cd\xb6\xdaQ{U\xe8\xc4g\x1b\xda\xfcL\xd0\'XV\xa1R\xd2\xb8\xd8\xd5\x94i\xcf\xd0\xd5r\xeb+\x05\xf3\x12\xa6\xac\xa6\xf7\x90$\x1f""\x97^\x8b|,0a\x11'","162.14","4.29","true"
"28","Join be part","Baby skin","Base capital significant seat traditional.","b'u\xf2.r\xedP\xea\xbf\x7fG9\x9c\xf8\x1e\xceo\xdd\xe8@\xc5\x14\x01~\xbb\x0fC-6pT\xc6\xbei$\xd1eIw\xf0\xd2\x99\xb4P\x8d\x98\xcb\xbfz|e\xd3F\xcf\x90iV\x15\xa2\xae\x11\x94`\xf9E'","16.02","2.23","true"
"29","Relationship no","Send","Direction campaign Congress push modern young.","b""\n\x14\xceC\x1fg\xc3l\xf4\x01\xce?\x85\xed\x19\xa1\xf7\x1b\xf8FE\xb4\xe9\xa7\x1f*e\x00*\xd3\x8bj;\xacx\xab\xf4\xc8bv\xc8$\xf8\xf8\x08\xe0d\x00dt\x9eU.\xf8\xc9\xc8X\x0e\x1f'2\xfd0$""","107.47","4.53","false"
"30","Hotel ever seek","Expect","Name sound still for best today side.","b'\x1e\x11\xce\xb2\x02\xf1\xb3_}^T\x8c\xe0\xebFn\x8a_?qG*\x8a\xe6\xf0\xb0\x04Id\xb3~\x16\t\x83_\x12\xe0\x85\xb76\xc0\x8a\xa5\xcd\xae\xc0\xb4\xa2b\x9b\xfad\x18\x16\x8e\xb6P\xf2\x9b\xc4}\x0cL\x8b'","324.64","4.57","false"
"31","Trouble image wind","Range statement","Risk whether board.","b'\xa7ry\x81\tU\xa1j\x87\xb0}\xc8\xb0\xc1\xa4\xa9\xdf\xcf\x95w6\x8e+\xae\xebK\xf9*\x83lS<\x89\xa6\x08\xae\x00N\xb8\xf64|\xc6v\x87\x1a\x02\xb0\x89\xa3\x0f\x00\xc6{\xeb\xf7\x95@\xc5\rot\xd8!'","313.85","3.08","false"
"32","Quality author","Never","Boy defense company cover customer movement.","b'\x7f\x8cdb\x8c(l\xf5y$\xb1\x00\x9cXk\t\xef\xb0s\xcdG\xbbR\xfd&j\xff\xb9\xf1\xd5\x82Y\x01\xfa\x87\x14$\x10\xb0\xf7\xdf\xf9?g\x19\xbd\xc7\x85\xb0\xadG\xa8L>\xb6.\x8a\xb3\xcc5\xa0H\xc7\x90'","407.90","1.2","true"
"33","Group class argue","Cost red","Ten effort kitchen into data miss.","b'\xf2\xf6\xb8\x10kT!\xa0\xc1\xfe\xcb\xce\x12\xa2IQ\x86SV\xec3\xb3r\xce\xa4F\xe37\xcb\xc0\x95\xaa\xe2\xa3\xc5\xe96@\xfe\xf7\xe2ZmX9\xb2A]\xe2qr\xd0\xf0\\\x16\x88\x950\n\xfb\x8d\xda\x14\x80'","99.60","2.27","true"
"34","Amount national war sense","Wrong Mr","Institution name perform themselves author direction democratic.","b""Y\xcft|-\x0b\xbb\x06\\\x9d\xcd\xf3\x1eJ\xba?\x9cJ\xc4\xd7\xf9\xf0\xa5V\x7f\xb0\xa2W\xd0\xc3\xaa\xa7\xd0I\xe2(\x9b\xc4d\x0c\xe0q\x9c\x05\x04\x95\x00\x1f{\xa9\xb9\xb3+\x8f\x0bE\x1e#\xaa'\x89J\xb0}""","296.67","2.26","false"
"35","Accept nation into however his","Big person","Employee box available voice threat house.","b'[\xd2\xcf\xb0\x11\x1dQ\xb5[\xea\x94\xf7\xa0\x983\xbaX\xfc\x12\xea\xdd\x89\xbdc\x03\xbe~;i\xc4\x9dW\x0f\xd6\xbe\xea[\xd0\x97c\x89\xb0\xa0\xc0\xd69\xc1i\x12j\xfb\xact\x7f\xfb\xf4\x7f8DL\x8a\xa2A\x15'","346.14","4.64","true"
"36","Raise report heart heart that","Energy","Picture surface TV it ask information.","b'\t\xd5\x96\xe5\xf7\xc5\xa9\xb3A\xb0\x9d\xebIh\x9d+\xeaG\x80;T\xb8\xf4\x14^\xd6f\x89\x04\xb3\x00\xa3\xa82b.\xc3\x15\xc6\x93}@2\xb1k`\xd3R\xdf\t\x8c\x80+\x01\xe7\x97\x8d\xbb\x14\xd6\x10\x15d\x00'","20.32","3.12","false"
"37","Beat still politics","Someone relate","Beyond drop base conference.","b'/\xddv\xab\x8a\xc3\xe37\x00\xd1)\xb0\x96\x1d\x18\xbe]2~\xb7\x11\xa9xr\xa2-)\x1c2\xa4\xff\xc7\xce\xfe\xaf\xb7\x17C\xe5/\xaeE\xd3\xaf\x10\xe3\xd0X\xb6\xee\xeez\xb5\x06p&~-[\xd5\xe1{\x9a7'","463.52","1.17","false"
"38","Manage player","Audience","Care its someone point daughter nice resource.","b'N\x02e\xcd\xf4\x04\xec\xcc\x8a\x0b\xe0Y\xf8e%c\xed\x0f\xa6\xc5<\xcb]\xc5\xd8\x9fZ\xd3\x88=\xd4,\xb3\x04\xf6\x97\xc7\xe2\xfd\xb6\xf4}\r\xb9u~\x9d\x81\xdc\xdf\x8e\x90@\x0c{E\xfeh\xfd\xff\x1c\xf1\x16\t'","8.19","1.07","true"
